y,ds
3992.5291346252390963,2021-05-11
4221.5144908799133945,2021-05-12
3822.4770883772041843,2021-05-13
3971.4838443258661659,2021-05-14
3903.4108829001835371,2021-05-15
3705.8847602910014901,2021-05-16
3392.8738135609346371,2021-05-17
3427.7847006824070104,2021-05-18
2825.1976376142035053,2021-05-19
2693.9457369670886393,2021-05-20
2625.7481143177865911,2021-05-21
2350.9736635822473427,2021-05-22
2105.0345147262745341,2021-05-23
